id,decade_start,births,deaths,natural_increase,net_migration,total_change,rate_natural_per_1k,rate_migration_per_1k,rate_total_per_1k
4,1950,577.505,1579.392,-1001.887,-52.257,-1054.144,-25.509376987054047,-1.2631042776678476,-26.772481264721893
4,1960,704.274,1627.027,-922.753,55.935,-866.818,-19.219989751413518,1.1720202751503597,-18.04796947626316
4,1970,850.546,1746.8629999999998,-896.3169999999999,-890.994,-1787.311,-14.656338482115675,-13.511054073795473,-28.167392555911146
4,1980,794.45,1487.632,-693.182,-4533.4800000000005,-5226.662,-12.089185536367998,-76.54668941782307,-88.63587495419108
4,1990,1260.344,1280.47,-20.126000000000005,2246.6059999999998,2226.48,-0.6334944682262836,30.336546902371964,29.70305243414568
4,2000,1610.012,1188.996,421.01599999999996,-787.8759999999999,-366.85999999999996,3.501906941603118,-7.253760967629825,-3.7518540260267104
4,2010,1595.367,973.655,621.712,9.237999999999952,630.9499999999999,3.821551576512635,0.35883333802380535,4.18038491453644
4,2020,1414.51,799.648,614.8620000000001,-1449.077,-834.215,2.8773154707414834,-7.03345207139742,-4.1561366006559375
4,2030,1187.301,640.687,546.614,-317.404,229.21,1.9896191327447224,-1.1039980666162406,0.8856210661284818
4,2040,977.7660000000001,517.066,460.70000000000005,-417.684,43.016000000000034,1.3524600376433618,-1.2242342110857451,0.12822582655761677
4,2050,787.561,423.387,364.17400000000004,-571.667,-207.493,0.8926235536336197,-1.4240513943527706,-0.531427840719151
4,2060,641.024,350.365,290.659,-264.706,25.95300000000001,0.6113725900086964,-0.5736736171258845,0.03769897288281186
4,2070,534.452,290.869,243.58299999999997,-306.008,-62.42500000000001,0.45215880191164015,-0.5582171668146236,-0.10605836490298359
4,2080,448.34499999999997,238.917,209.428,-1018.919,-809.491,0.3547965280750844,-1.7248265642794351,-1.3700300362043505
4,2090,379.126,198.193,180.933,-602.504,-421.571,0.2866796345801067,-0.9546856966484099,-0.6680060620683032
4,2100,34.903,17.971,16.932,-99.07,-82.13799999999999,0.26033478512155644,-1.5232321735171626,-1.2628973883956058
8,1950,31.767,148.919,-117.152,95.968,-21.184,-17.058268577602803,13.746354515924551,-3.3119140616782525
8,1960,38.711,111.574,-72.863,74.465,1.602000000000003,-8.061174166323868,7.997356186673332,-0.06381797965053455
8,1970,37.172,59.929,-22.757,-10.058,-32.815,-1.9671111411454476,-0.851361830870242,-2.8184729720156896
8,1980,26.578,40.733000000000004,-14.155000000000001,-44.989000000000004,-59.144000000000005,-0.9604658991353274,-2.806925649978169,-3.7673915491134964
8,1990,27.080000000000002,25.861,1.219000000000001,-662.239,-661.02,0.07455381804945913,-40.44367699910481,-40.36912318105535
