id,oadr_peak,oadr_p10,oadr_p15,oadr_p20,oadr_p25,oadr_p30
4,0.2190158665850764,0.2190158665850764,0.2190158665850764,0.2190158665850764,0.2190158665850764,0.2190158665850764
8,0.08861616672146189,0.12004612800521447,0.1426639469362817,0.16549597205115313,0.18868944816509436,0.22661121361544656
12,0.47682859235470243,0.5085101927847522,0.5085101927847522,0.5085101927847522,0.5085101927847522,0.5085101927847522
16,0.06006897585844955,0.07106285310734464,0.08864477831155718,0.10963974600338237,0.1463564830653438,0.1917193997468812
20,0.38549632022976127,0.5988699373827243,0.680528231915519,0.7427013930950941,0.8024215740231152,0.8649260575490084
24,0.1764186419097977,0.1764186419097977,0.1764186419097977,0.1764186419097977,0.1764186419097977,0.1764186419097977
28,0.30970352128442125,0.3798834847136645,0.42083814321194957,0.4648218584054536,0.5172971288324437,0.5609640539705427
31,0.27715066396639,0.3711886344671885,0.37475442064727427,0.3711741177867197,0.3987413314292178,0.4411659986499198
32,0.30883583176986407,0.390779180361436,0.4334953163055807,0.4764491675160764,0.529122072274155,0.5943298395501944
36,0.49850943446272594,0.49850943446272594,0.49850943446272594,0.49850943446272594,0.49850943446272594,0.49850943446272594
40,0.30769131778628944,0.42247126721373746,0.4700446117863534,0.49690492713393475,0.5284893331597261,0.5585212651312204
44,0.3286962823074728,0.3951479726252563,0.4199831018018196,0.43799589836616915,0.4686395778014357,0.4898269713829114
48,0.2259666177191803,0.2259666177191803,0.2259666177191803,0.2259666177191803,0.2259666177191803,0.2259666177191803
50,0.3786529060502281,0.45637149920385944,0.4892170040350281,0.531615700946039,0.5686075715625232,0.5906308142012072
51,0.08274395458001757,0.14567025482641519,0.16558203786117892,0.15207170136810236,0.162618403450572,0.18708333505758307
52,0.2875448964306996,0.3597757899628252,0.37944930685739536,0.3946387949584999,0.40888121783604403,0.42995691075122877
56,0.45228583621037804,0.48895923397075874,0.5023280496931575,0.5036134339565664,0.5071816881689222,0.5311632285874853
60,0.3064686670269508,0.46837809373354394,0.540924268357698,0.6019103512291524,0.6551978215601473,0.6948549534756431
64,0.2553933715860752,0.4047142514881776,0.4591752377255968,0.5151738780895054,0.5574386755712449,0.5811523721603599
68,0.2916202780942576,0.327694845395637,0.3424138747092683,0.3424138747092683,0.3424138747092683,0.3424138747092683
70,0.09984218293939895,0.16485504001058315,0.19927166283873485,0.22353083979126895,0.260917940644821,0.31405891711472106
72,0.2852762106617199,0.334588168647861,0.34190016614871327,0.34190016614871327,0.34190016614871327,0.34190016614871327
76,0.28185651543570794,0.3773670930656166,0.4192272907747093,0.45852041559833645,0.49673682046647205,0.5234884363645217
84,0.3137137249569932,0.41824257323142955,0.448580969931529,0.4854339159766943,0.5093006566435824,0.542942956540113
90,0.2831554656230848,0.2831554656230848,0.2831554656230848,0.2831554656230848,0.2831554656230848,0.2831554656230848
92,0.2692884809994068,0.44330351770887655,0.5248654467168999,0.5767843280515091,0.6012697801933531,0.606757981669856
96,0.34890991437006075,0.42266414039527317,0.43586130789922256,0.439862898143857,0.4549410251498318,0.4723172672101832
100,0.18508114585123406,0.2365712657019004,0.2498641880859898,0.25712104207714837,0.2889824046498914,0.3280880860917963
104,0.19637300513589923,0.23628033273129584,0.25615965353466863,0.27652292748818014,0.29223125043088416,0.3081703477724169
108,0.20023050316935803,0.20023050316935803,0.20023050316935803,0.20023050316935803,0.20023050316935803,0.20023050316935803
112,0.17736934351269273,0.2069695538149991,0.20547852460875957,0.1961552637716968,0.22108158150597115,0.2574896565516563
116,0.28406657994022344,0.3401883011969347,0.36350506899860563,0.38310995589385405,0.3904669252604645,0.3904669252604645
120,0.2131785459034399,0.2131785459034399,0.2131785459034399,0.2131785459034399,0.2131785459034399,0.2131785459034399
124,0.5392473878366975,0.5392473878366975,0.5392473878366975,0.5392473878366975,0.5392473878366975,0.5392473878366975
132,0.2545217605630109,0.39100268189289733,0.4351060609239605,0.4898508107284171,0.5643488428075243,0.6493516278999677
136,0.5469647499848842,0.5566231357465377,0.5566231357465377,0.5566231357465377,0.5566231357465377,0.5566231357465377
140,0.1686863281743699,0.1686863281743699,0.1686863281743699,0.1686863281743699,0.1686863281743699,0.1686863281743699
144,0.3299071631336625,0.37899803219253086,0.40560853151535675,0.4405365286633363,0.47956776892049585,0.5160745814702953
148,0.1514314286365637,0.1514314286365637,0.1514314286365637,0.1514314286365637,0.1514314286365637,0.1514314286365637
152,0.34021516404471236,0.4439056216640691,0.5210021158052031,0.6073164627302008,0.6824254677532778,0.7346845576128558
156,0.19080020617387639,0.2771986610837977,0.3543781419474045,0.42650459828543286,0.4720091827385935,0.5396500154684211
158,0.20911594900126124,0.35643341260372635,0.43159765175726433,0.5065418059934593,0.6011288465549114,0.7134834792761681
